WORDS,FREQ
never,2
new,10
next,2
nlp,2
non,2
nosql,2
number,2
numerous,4
observer,4
obstetrics,2
obtain,8
october,4
offer,2
office,4
oncology,2
one,14
open,4
opportunity,16
orchestra,4
order,4
otcex,4
outcome,20
outlook,4
outside,8
outstanding,4
overall,4
p,4
paris,14
paristech,6
part,26
particular,4
passion,4
past,2
people,4
perceive,2
perform,4
performance,6
perrin,4
personal,2
phd,6
phone,4
place,2
platform,4
please,6
pleasure,4
point,4
portfolio,4
position,10
positive,1
post,2
precise,4
preferred,2
prepare,2
present,6
presentation,4
pressure,4
pretend,2
processing,4
product,6
productivity,2
profession,4
professional,4
program,4
programme,4
progress,20
project,64
promising,4
provide,6
public,2
pursue,6
pursuit,4
put,4
qualify,2
quality,12
quantitative,2
question,16
r,6
ral,2
rank,8
raphael,6
reach,2
read,4
ready,3
real,4
realise,4
realize,2
recamier,2
recent,4
recently,4
recognition,4
recommend,8
recruiting,2
recruitment,2
refer,2
regard,10
reinforce,4
remain,4
remarkable,4
rental,2
require,4
research,2
respect,2
respective,4
responsibility,4
result,2
resume,2
review,6
rewarding,4
right,4
risk,2
rnns,2
rue,4
sabbatical,2
sale,6
say,2
scenario,6
school,6
science,12
scientific,4
scientist,2
score,4
secure,2
seek,6
selective,4
self,2
september,8
series,2
service,6
set,2
share,6
short,2
show,4
showcase,2
side,2
since,24
sincerely,8
sir,6
sit,2
situation,2
six,4
sixth,2
skill,13
societe,4
sound,2
space,2
speak,16
speaker,2
special,2
specific,4
sql,2
stage,2
standard,4
start,4
state,2
statistic,6
step,4
stimulating,2
strasbourg,2
strengthen,4
strong,4
strongly,2
student,20
study,26
suggestion,2
summary,4
summer,12
svm,2
switzerland,2
synergy,4
synonymous,2
system,2
tackle,2
take,28
talented,4
task,2
taste,4
teach,8
team,44
technical,4
technicality,4
technique,2
technology,2
telecom,9
tensorflow,2
term,4
text,6
thank,4
thanks,4
theory,2
therefore,8
thing,2
think,10
thouly,4
three,4
thrill,4
throughout,4
thus,6
time,28
tool,2
top,16
topic,2
trade,4
trading,12
transaction,4
travel,4
u,6
unanswered,2
united,2
university,14
upon,2
use,12
utmost,4
v,2
valuable,4
value,8
vast,2
vaudoise,4
veamly,2
video,2
violin,4
vision,10
visit,4
vivadata,2
wanago,2
want,2
way,6
welcome,2
well,8
willing,4
word,2
<<<<<<< HEAD
work,38
=======
work,33
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d
working,2
would,18
write,4
year,14
york,4
young,4
